StreetName,Suburb,LATITUDE,LONGITUDE
Collins Street,Docklands,-37.81937396,144.9536032
Collins Street,Docklands,-37.81939064,144.9535456
Collins Street,Docklands,-37.81962408,144.9527388
Collins Street,Docklands,-37.81964075,144.9526811
Collins Street,Docklands,-37.81965743,144.9526235
Collins Street,Docklands,-37.8196741,144.9525659
Collins Street,Docklands,-37.81969078,144.9525082
Collins Street,Docklands,-37.81970655,144.9524537
Collins Street,Docklands,-37.81972142,144.9524023
Collins Street,Docklands,-37.8197363,144.9523509
Collins Street,Docklands,-37.81975117,144.9522995
Collins Street,Docklands,-37.81976605,144.9522481
Collins Street,Docklands,-37.81978092,144.9521967
Collins Street,Melbourne,-37.81495083,144.9678894
Collins Street,Melbourne,-37.81497184,144.9678179
Collins Street,Melbourne,-37.81499284,144.9677464
Collins Street,Melbourne,-37.8151999,144.9670419
Collins Street,Melbourne,-37.81521564,144.9669883
Collins Street,Melbourne,-37.81523138,144.9669347
Collins Street,Melbourne,-37.81524712,144.9668812
Collins Street,Melbourne,-37.81526286,144.9668276
Collins Street,Melbourne,-37.8152786,144.9667741
Collins Street,Melbourne,-37.81529434,144.9667205
Collins Street,Melbourne,-37.81531008,144.9666669
Collins Street,Melbourne,-37.8178299,144.9589749
Collins Street,Melbourne,-37.81785064,144.9589024
Collins Street,Melbourne,-37.81787137,144.9588298
Collins Street,Melbourne,-37.81789211,144.9587572
Collins Street,Melbourne,-37.81791285,144.9586846
Collins Street,Melbourne,-37.81793358,144.958612
Collins Street,Melbourne,-37.81814332,144.9578779
Collins Street,Melbourne,-37.81815705,144.9578298
Collins Street,Melbourne,-37.81817078,144.9577817
McConnell Street,Kensington,-37.79304837,144.9288106
McConnell Street,Kensington,-37.793003,144.9288057
McConnell Street,Kensington,-37.79295707,144.9288007
McConnell Street,Kensington,-37.79291399,144.928796
McConnell Street,Kensington,-37.79286805,144.9287911
McConnell Street,Kensington,-37.79282199,144.9287861
McConnell Street,Kensington,-37.79277738,144.9287812
McConnell Street,Kensington,-37.79272967,144.9287761
McConnell Street,Kensington,-37.79267708,144.9287704
McConnell Street,Kensington,-37.79349299,144.9290009
McConnell Street,Kensington,-37.79336982,144.928988
McConnell Street,Kensington,-37.79238348,144.9288845
McConnell Street,Kensington,-37.79230079,144.9288758
McConnell Street,Kensington,-37.79223327,144.9288687
McConnell Street,Kensington,-37.79262372,144.9287646
McConnell Street,Kensington,-37.79257082,144.9287589
McConnell Street,Kensington,-37.79248695,144.9287498
McConnell Street,Kensington,-37.79240705,144.9287412
McConnell Street,Kensington,-37.79236268,144.9287364
McConnell Street,Kensington,-37.79231807,144.9287315
McConnell Street,Kensington,-37.7922741,144.9287268
McConnell Street,Kensington,-37.79223057,144.9287221
McConnell Street,Kensington,-37.79208049,144.9288509
McConnell Street,Kensington,-37.79203585,144.9288459
